# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 260         5.180       52.100      1.90        De Bilt     
# 279         6.574       52.750      15.80       Hoogeveen   
# TG        : Etmaalgemiddelde temperatuur (in 0.1 graden Celsius) / Daily mean temperature in (0.1 degrees Celsius)
# TN        : Minimum temperatuur (in 0.1 graden Celsius) / Minimum temperature (in 0.1 degrees Celsius)
# TX        : Maximum temperatuur (in 0.1 graden Celsius) / Maximum temperature (in 0.1 degrees Celsius)
# STN,YYYYMMDD,   TG,   TN,   TX
  279,20200518,  143,   71,  216
  279,20200519,  155,  102,  202
  279,20200520,  154,   99,  206
  279,20200521,  180,   80,  260
  279,20200522,  181,  134,  254
  279,20200523,  150,  111,  190
  279,20200524,  132,  109,  154
  279,20200525,  134,   60,  181
  279,20200526,  141,   45,  228
  279,20200527,  142,   75,  211
  279,20200528,  120,   44,  193
  279,20200529,  137,   29,  218
  279,20200530,  162,   65,  232
  279,20200531,  155,   76,  217
  279,20200601,  172,   86,  248
  279,20200602,  205,  108,  281
  279,20200603,  176,  122,  243
  279,20200604,  124,   88,  146
  279,20200605,   95,   70,  125
  279,20200606,  117,   70,  162
  279,20200607,  127,  102,  174
  279,20200608,  133,  106,  184
  279,20200609,  125,   83,  161
  279,20200610,  130,   72,  161
  279,20200611,  151,  125,  186
  279,20200612,  202,  146,  258
  279,20200613,  211,  155,  279
  279,20200614,  186,  149,  243
  279,20200615,  185,  155,  232
  279,20200616,  189,  154,  229
  279,20200617,  181,  146,  242
  279,20200618,  173,  143,  212
  279,20200619,  176,  127,  231
  279,20200620,  171,  111,  229
  279,20200621,  177,   96,  243
  279,20200622,  175,  108,  232
  279,20200623,  189,   94,  262
  279,20200624,  205,  113,  270
  279,20200625,  222,  122,  289
  279,20200626,  231,  161,  289
  279,20200627,  211,  169,  270
  279,20200628,  173,  118,  212
  279,20200629,  158,  110,  195
  279,20200630,  149,  126,  188
  279,20200701,  173,  139,  218
  279,20200702,  165,  128,  212
  279,20200703,  171,  118,  211
  279,20200704,  162,  139,  176
  279,20200705,  179,  155,  217
  279,20200706,  138,  101,  174
  279,20200707,  134,   83,  179
  279,20200708,  133,  111,  156
  279,20200709,  154,  130,  177
  279,20200710,  132,   75,  171
  279,20200711,  138,   72,  195
  279,20200712,  141,   66,  207
  279,20200713,  161,   70,  229
  279,20200714,  150,  111,  187
  279,20200715,  145,   83,  203
  279,20200716,  157,  122,  201
  279,20200717,  175,  135,  213
  279,20200718,  195,  117,  250
  279,20200719,  186,  137,  251
  279,20200720,  153,   89,  202
  279,20200721,  142,   73,  211
  279,20200722,  141,   65,  200
  279,20200723,  171,  104,  230
  279,20200724,  180,  144,  230
  279,20200725,  178,  132,  211
  279,20200726,  178,  113,  222
  279,20200727,  168,  111,  206
  279,20200728,  171,  144,  202
  279,20200729,  149,   80,  189
  279,20200730,  163,   60,  238
  279,20200731,  215,  106,  291
  279,20200801,  203,  127,  267
  279,20200802,  162,   90,  226
  279,20200803,  140,   73,  216
  279,20200804,  156,   68,  215
  279,20200805,  199,  128,  275
  279,20200806,  220,  114,  314
  279,20200807,  238,  132,  335
  279,20200808,  251,  139,  343
  279,20200809,  247,  183,  314
  279,20200810,  249,  151,  329
