STN,YYYYMMDD,TG,TN,TX
260,20221218,-24,-64,7
260,20221219,77,7,102
260,20221220,100,83,112
260,20221221,79,65,92
260,20221222,87,69,101
260,20221223,95,84,111
260,20221224,91,69,110
260,20221225,86,76,93
260,20221226,70,39,98
260,20221227,57,39,73
260,20221228,92,60,114
260,20221229,92,65,117
260,20221230,85,46,129
260,20221231,140,104,159
279,20220101,120,109,129
279,20220102,111,84,125
279,20220103,92,72,109
279,20220104,55,11,84
279,20220105,44,15,73
279,20220106,30,-15,65
279,20220107,30,11,49
279,20220108,22,-12,43
279,20220109,48,18,70
279,20220110,5,-25,53
279,20220111,12,-16,38
279,20220112,36,1,56
279,20220113,50,39,63
279,20220114,61,53,70
279,20220115,40,11,60
279,20220116,47,6,71
279,20220117,71,44,100
279,20220118,53,37,72
279,20220119,38,3,67
279,20220120,25,5,48
279,20220121,41,7,67
279,20220122,59,52,67
279,20220123,54,47,66
279,20220124,42,32,49
279,20220125,31,24,37
279,20220126,35,16,54
279,20220127,64,41,91
279,20220128,55,37,72
279,20220129,86,62,114
279,20220130,51,26,76
279,20220131,51,22,81
279,20220201,63,21,90
279,20220202,67,26,98
279,20220203,74,66,84
279,20220204,60,19,97
279,20220205,57,30,75
279,20220206,65,23,89
279,20220207,54,32,81
279,20220208,91,57,106
279,20220209,87,78,96
279,20220210,61,29,80
279,20220211,33,-18,70
279,20220212,19,-26,63
279,20220213,50,2,95
279,20220214,86,58,104
279,20220215,69,52,89
279,20220216,104,74,127
279,20220217,78,53,111
279,20220218,73,46,112
279,20220219,52,32,77
279,20220220,73,30,102
279,20220221,54,20,76
279,20220222,61,28,94
279,20220223,72,25,108
279,20220224,58,29,97
279,20220225,42,18,78
279,20220226,26,-25,80
279,20220227,32,-8,85
279,20220228,36,-23,97
279,20220301,51,-1,92
279,20220302,53,8,101
279,20220303,37,-14,99
279,20220304,14,-21,76
279,20220305,15,-22,70
279,20220306,16,-18,65
279,20220307,20,-35,79
279,20220308,36,-26,104
279,20220309,47,-19,126
279,20220310,67,-18,149
279,20220311,70,19,123
279,20220312,89,43,139
279,20220313,94,29,159
279,20220314,83,21,133
279,20220315,62,15,126
279,20220316,84,-8,142
279,20220317,73,2,112
279,20220318,68,-13,149
279,20220319,74,19,125
279,20220320,53,14,111
279,20220321,80,-10,157
279,20220322,104,24,188
279,20220323,101,22,180
279,20220324,88,8,183
279,20220325,82,0,166
279,20220326,89,2,168
279,20220327,82,29,155
279,20220328,71,43,128
279,20220329,69,24,120
279,20220330,48,19,79
279,20220331,20,-3,38
279,20220401,20,-3,40
279,20220402,15,-37,67
279,20220403,33,-44,82
279,20220404,64,17,95
279,20220405,84,62,112
279,20220406,94,87,104
279,20220407,77,49,111
279,20220408,54,25,91
279,20220409,48,21,90
279,20220410,51,5,101
279,20220411,75,-5,137
279,20220412,128,43,206
279,20220413,128,83,175
279,20220414,116,48,179
279,20220415,78,45,106
279,20220416,88,37,138
279,20220417,96,10,168
279,20220418,115,23,195
279,20220419,108,29,172
279,20220420,105,29,166
279,20220421,115,35,171
279,20220422,124,65,179
279,20220423,128,87,173
279,20220424,105,57,164
279,20220425,83,64,113
279,20220426,85,19,138
279,20220427,67,-5,117
279,20220428,76,-2,139
279,20220429,71,19,110
279,20220430,80,17,121
279,20220501,93,36,151
279,20220502,96,8,175
279,20220503,81,10,129
279,20220504,97,49,150
279,20220505,119,39,189
279,20220506,126,39,214
279,20220507,132,77,194
279,20220508,98,28,164
279,20220509,139,19,231
279,20220510,167,93,252
279,20220511,162,109,219
279,20220512,136,76,192
279,20220513,136,81,187
279,20220514,147,83,213
279,20220515,164,59,235
279,20220516,177,114,250
279,20220517,179,116,230
279,20220518,203,122,271
279,20220519,180,120,257
279,20220520,139,106,192
279,20220521,137,75,178
279,20220522,144,62,197
279,20220523,173,119,241
279,20220524,134,82,170
279,20220525,134,79,182
279,20220526,156,128,198
279,20220527,131,104,156
279,20220528,110,85,152
279,20220529,97,71,122
279,20220530,101,48,141
279,20220531,124,64,178
279,20220601,116,71,160
279,20220602,127,53,192
279,20220603,149,75,213
279,20220604,149,97,207
279,20220605,166,103,228
279,20220606,140,118,174
279,20220607,133,87,171
279,20220608,155,91,207
279,20220609,155,95,198
279,20220610,166,95,227
279,20220611,172,98,222
279,20220612,156,94,211
279,20220613,140,80,185
279,20220614,142,65,208
279,20220615,161,79,227
279,20220616,167,92,236
279,20220617,205,107,273
279,20220618,197,132,263
279,20220619,142,114,172
279,20220620,143,73,192
279,20220621,152,52,219
279,20220622,168,64,244
279,20220623,227,107,312
279,20220624,190,158,238
279,20220625,200,158,244
279,20220626,182,160,211
279,20220627,160,117,191
279,20220628,171,101,229
279,20220629,205,128,262
279,20220630,206,140,269
279,20220701,162,122,209
279,20220702,179,106,235
279,20220703,169,112,230
279,20220704,160,99,211
279,20220705,153,90,203
279,20220706,159,119,205
279,20220707,155,133,177
279,20220708,171,110,227
279,20220709,164,119,211
279,20220710,155,109,183
279,20220711,167,115,208
279,20220712,194,95,263
279,20220713,206,112,273
279,20220714,151,85,209
279,20220715,164,97,205
279,20220716,159,79,208
279,20220717,162,62,243
279,20220718,212,98,307
279,20220719,259,135,365
279,20220720,236,184,298
279,20220721,185,149,224
279,20220722,159,130,183
279,20220723,166,91,225
